reference,value,footprint,lib_id,lcsc
U8,MAX98357A,Package_QFP:TQFP-16_3x3mm_P0.5mm,Audio:MAX98357A,
J9,INMP441_Mic,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,Connector_Generic:Conn_01x06,
J10,Speaker,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_Generic:Conn_01x02,
C31,100nF,0402,Device:C,C1525
C32,10uF,0805,Device:C,C15850
C33,100nF,0402,Device:C,C1525
R17,10K,0402,Device:R,C25744
U9,SIM800C,RF_GSM:SIMCom_SIM800C,RF_GSM:SIM800C,
J11,Servo_Pan,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,Connector_Generic:Conn_01x03,
J12,Servo_Tilt,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,Connector_Generic:Conn_01x03,
J13,IR_TX_LED,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_Generic:Conn_01x02,
J14,IR_RX,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_Generic:Conn_01x02,
J15,Dock_Contact,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_Generic:Conn_01x02,
C34,100uF,Capacitor_SMD:CP_Elec_6.3x7.7,Device:C_Polarized,
C35,100nF,0402,Device:C,C1525
R18,220,0402,Device:R,C25091
U10,ESP32-S3-WROOM-1,RF_Module:ESP32-S3-WROOM-1,RF_Module:ESP32-S3-WROOM-1,
C20,100nF,0402,Device:C,C1525
C21,100nF,0402,Device:C,C1525
C22,100nF,0402,Device:C,C1525
C23,100nF,0402,Device:C,C1525
C24,100nF,0402,Device:C,C1525
C25,100nF,0402,Device:C,C1525
C26,100nF,0402,Device:C,C1525
C27,10uF,0805,Device:C,C15850
C28,100nF,0402,Device:C,C1525
R10,10K,0402,Device:R,C25744
R11,10K,0402,Device:R,C25744
R12,10K,0402,Device:R,C25744
SW1,BOOT,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H6.3mm,Switch:SW_Push,
C29,100nF,Capacitor_SMD:C_0402_1005Metric,Device:C,
U5,L298N,Package_Multiwatt:Multiwatt_15_Vertical,Driver_Motor:L298N,
D10,1N4007,Diode_SMD:D_SMA,Device:D,
D11,1N4007,Diode_SMD:D_SMA,Device:D,
D12,1N4007,Diode_SMD:D_SMA,Device:D,
D13,1N4007,Diode_SMD:D_SMA,Device:D,
D14,1N4007,Diode_SMD:D_SMA,Device:D,
D15,1N4007,Diode_SMD:D_SMA,Device:D,
D16,1N4007,Diode_SMD:D_SMA,Device:D,
D17,1N4007,Diode_SMD:D_SMA,Device:D,
J3,Motor_A,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_Generic:Conn_01x02,
J4,Motor_B,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_Generic:Conn_01x02,
C30,100nF,0402,Device:C,C1525
U1,LM2596S-5,Package_TO_SOT_SMD:TO-263-5_TabPin3,Regulator_Switching:LM2596S-5,
L1,33uH,Inductor_SMD:L_Wuerth_MAPI-3015,Device:L,
D1,SS34,SMA(DO-214AC),Device:D_Schottky,C8678
C1,100uF,Capacitor_SMD:CP_Elec_6.3x7.7,Device:C_Polarized,
C2,10uF,0805,Device:C,C15850
C5,22uF,0805,Device:C,C45783
J1,Battery,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_Generic:Conn_01x02,
U2,AP2112K-3.3,Package_TO_SOT_SMD:SOT-23-5,Regulator_Linear:AP2112K-3.3,
U3,AMS1117-ADJ,SOT-223,Regulator_Linear:AMS1117,C6186
U4,TP4056,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,Battery_Management:TP4056-42-ESOP8,
C3,10uF,Capacitor_SMD:C_0805_2012Metric,Device:C,
C4,10uF,Capacitor_SMD:C_0805_2012Metric,Device:C,
C6,100nF,0402,Device:C,C1525
C7,100uF,Capacitor_SMD:CP_Elec_6.3x7.7,Device:C_Polarized,
C8,100nF,0402,Device:C,C1525
